model,condition,run,lemma,correct,total,accuracy
50L_50NL_1_2,50L_50NL,1,e s t a b l e s ˈe ɾ,466,660,70.61
50L_50NL_1_3,50L_50NL,1,e s t a b l e s ˈe ɾ,513,660,77.73
50L_50NL_1_4,50L_50NL,1,e s t a b l e s ˈe ɾ,659,660,99.85
50L_50NL_1_1,50L_50NL,1,f u l ç ˈi ɾ,645,660,97.73
50L_50NL_1_2,50L_50NL,1,f u l ç ˈi ɾ,380,660,57.58
50L_50NL_1_3,50L_50NL,1,f u l ç ˈi ɾ,378,660,57.27
50L_50NL_1_4,50L_50NL,1,f u l ç ˈi ɾ,659,660,99.85
50L_50NL_1_1,50L_50NL,1,f ɾ a n ç ˈi ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,f ɾ a n ç ˈi ɾ,331,660,50.15
50L_50NL_1_3,50L_50NL,1,f ɾ a n ç ˈi ɾ,317,660,48.03
50L_50NL_1_4,50L_50NL,1,f ɾ a n ç ˈi ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,k a ˈe ɾ,612,660,92.73
50L_50NL_1_2,50L_50NL,1,k a ˈe ɾ,281,660,42.58
50L_50NL_1_3,50L_50NL,1,k a ˈe ɾ,253,660,38.33
50L_50NL_1_4,50L_50NL,1,k a ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,k o m p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,k o m p a ɾ e s ˈe ɾ,464,660,70.3
50L_50NL_1_3,50L_50NL,1,k o m p a ɾ e s ˈe ɾ,515,660,78.03
50L_50NL_1_4,50L_50NL,1,k o m p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,k o n t ɾ a a s ˈe ɾ,0,660,0.0
50L_50NL_1_2,50L_50NL,1,k o n t ɾ a a s ˈe ɾ,342,660,51.82
50L_50NL_1_3,50L_50NL,1,k o n t ɾ a a s ˈe ɾ,271,660,41.06
50L_50NL_1_4,50L_50NL,1,k o n t ɾ a a s ˈe ɾ,646,660,97.88
50L_50NL_1_1,50L_50NL,1,p ɾ e b a l e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,p ɾ e b a l e s ˈe ɾ,432,660,65.45
50L_50NL_1_3,50L_50NL,1,p ɾ e b a l e s ˈe ɾ,418,660,63.33
50L_50NL_1_4,50L_50NL,1,p ɾ e b a l e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,p ɾ o d u s ˈi ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,p ɾ o d u s ˈi ɾ,480,660,72.73
50L_50NL_1_3,50L_50NL,1,p ɾ o d u s ˈi ɾ,463,660,70.15
50L_50NL_1_4,50L_50NL,1,p ɾ o d u s ˈi ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,t ɾ a ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,t ɾ a ˈe ɾ,314,660,47.58
50L_50NL_1_3,50L_50NL,1,t ɾ a ˈe ɾ,248,660,37.58
50L_50NL_1_4,50L_50NL,1,t ɾ a ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,ɾ e a p a ɾ e s ˈe ɾ,523,660,79.24
50L_50NL_1_3,50L_50NL,1,ɾ e a p a ɾ e s ˈe ɾ,565,660,85.61
50L_50NL_1_4,50L_50NL,1,ɾ e a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,ɾ e b e n ˈi ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,ɾ e b e n ˈi ɾ,324,660,49.09
50L_50NL_1_3,50L_50NL,1,ɾ e b e n ˈi ɾ,380,660,57.58
50L_50NL_1_4,50L_50NL,1,ɾ e b e n ˈi ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,ɾ e b l a n d e s ˈe ɾ,660,660,100.0
50L_50NL_1_2,50L_50NL,1,ɾ e b l a n d e s ˈe ɾ,104,660,15.76
50L_50NL_1_3,50L_50NL,1,ɾ e b l a n d e s ˈe ɾ,373,660,56.52
50L_50NL_1_4,50L_50NL,1,ɾ e b l a n d e s ˈe ɾ,660,660,100.0
50L_50NL_1_1,50L_50NL,1,ɾ e t o ɾ s ˈe ɾ,443,660,67.12
50L_50NL_1_2,50L_50NL,1,ɾ e t o ɾ s ˈe ɾ,240,660,36.36
50L_50NL_1_3,50L_50NL,1,ɾ e t o ɾ s ˈe ɾ,207,660,31.36
50L_50NL_1_4,50L_50NL,1,ɾ e t o ɾ s ˈe ɾ,659,660,99.85
50L_50NL_2_1,50L_50NL,2,a d u s ˈi ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,a d u s ˈi ɾ,453,660,68.64
50L_50NL_2_3,50L_50NL,2,a d u s ˈi ɾ,442,660,66.97
50L_50NL_2_4,50L_50NL,2,a d u s ˈi ɾ,657,660,99.55
50L_50NL_2_1,50L_50NL,2,a k a e s ˈe ɾ,659,660,99.85
50L_50NL_2_2,50L_50NL,2,a k a e s ˈe ɾ,259,660,39.24
50L_50NL_2_3,50L_50NL,2,a k a e s ˈe ɾ,319,660,48.33
50L_50NL_2_4,50L_50NL,2,a k a e s ˈe ɾ,105,660,15.91
50L_50NL_2_1,50L_50NL,2,a m a n e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,a m a n e s ˈe ɾ,306,660,46.36
50L_50NL_2_3,50L_50NL,2,a m a n e s ˈe ɾ,329,660,49.85
50L_50NL_2_4,50L_50NL,2,a m a n e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,a p a ɾ e s ˈe ɾ,591,660,89.55
50L_50NL_2_3,50L_50NL,2,a p a ɾ e s ˈe ɾ,597,660,90.45
50L_50NL_2_4,50L_50NL,2,a p a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,a r e s ˈi ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,a r e s ˈi ɾ,516,660,78.18
50L_50NL_2_3,50L_50NL,2,a r e s ˈi ɾ,507,660,76.82
50L_50NL_2_4,50L_50NL,2,a r e s ˈi ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,d e d u s ˈi ɾ,657,660,99.55
50L_50NL_2_2,50L_50NL,2,d e d u s ˈi ɾ,540,660,81.82
50L_50NL_2_3,50L_50NL,2,d e d u s ˈi ɾ,510,660,77.27
50L_50NL_2_4,50L_50NL,2,d e d u s ˈi ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,d e s a s ˈe ɾ,220,220,100.0
50L_50NL_2_2,50L_50NL,2,d e s a s ˈe ɾ,185,220,84.09
50L_50NL_2_3,50L_50NL,2,d e s a s ˈe ɾ,171,220,77.73
50L_50NL_2_4,50L_50NL,2,d e s a s ˈe ɾ,220,220,100.0
50L_50NL_2_1,50L_50NL,2,d e s a s ˈi ɾ,257,440,58.41
50L_50NL_2_2,50L_50NL,2,d e s a s ˈi ɾ,53,440,12.05
50L_50NL_2_3,50L_50NL,2,d e s a s ˈi ɾ,131,440,29.77
50L_50NL_2_4,50L_50NL,2,d e s a s ˈi ɾ,440,440,100.0
50L_50NL_2_1,50L_50NL,2,d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,d e s a ɡ ɾ a d e s ˈe ɾ,354,660,53.64
50L_50NL_2_3,50L_50NL,2,d e s a ɡ ɾ a d e s ˈe ɾ,345,660,52.27
50L_50NL_2_4,50L_50NL,2,d e s a ɡ ɾ a d e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,d e s k o m p o n ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,d e s k o m p o n ˈe ɾ,196,660,29.7
50L_50NL_2_3,50L_50NL,2,d e s k o m p o n ˈe ɾ,191,660,28.94
50L_50NL_2_4,50L_50NL,2,d e s k o m p o n ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,e l i ç ˈi ɾ,550,660,83.33
50L_50NL_2_2,50L_50NL,2,e l i ç ˈi ɾ,386,660,58.48
50L_50NL_2_3,50L_50NL,2,e l i ç ˈi ɾ,386,660,58.48
50L_50NL_2_4,50L_50NL,2,e l i ç ˈi ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,e n b e x e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,e n b e x e s ˈe ɾ,437,660,66.21
50L_50NL_2_3,50L_50NL,2,e n b e x e s ˈe ɾ,592,660,89.7
50L_50NL_2_4,50L_50NL,2,e n b e x e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,e n k a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,e n k a ɾ e s ˈe ɾ,608,660,92.12
50L_50NL_2_3,50L_50NL,2,e n k a ɾ e s ˈe ɾ,611,660,92.58
50L_50NL_2_4,50L_50NL,2,e n k a ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,e n m u d e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,e n m u d e s ˈe ɾ,498,660,75.45
50L_50NL_2_3,50L_50NL,2,e n m u d e s ˈe ɾ,550,660,83.33
50L_50NL_2_4,50L_50NL,2,e n m u d e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,e n o ɾ ɡ u ʃ e s ˈe ɾ,0,660,0.0
50L_50NL_2_2,50L_50NL,2,e n o ɾ ɡ u ʃ e s ˈe ɾ,158,660,23.94
50L_50NL_2_3,50L_50NL,2,e n o ɾ ɡ u ʃ e s ˈe ɾ,281,660,42.58
50L_50NL_2_4,50L_50NL,2,e n o ɾ ɡ u ʃ e s ˈe ɾ,532,660,80.61
50L_50NL_2_1,50L_50NL,2,e n s o m b ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,e n s o m b ɾ e s ˈe ɾ,531,660,80.45
50L_50NL_2_3,50L_50NL,2,e n s o m b ɾ e s ˈe ɾ,553,660,83.79
50L_50NL_2_4,50L_50NL,2,e n s o m b ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,f a ʃ e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,f a ʃ e s ˈe ɾ,582,660,88.18
50L_50NL_2_3,50L_50NL,2,f a ʃ e s ˈe ɾ,565,660,85.61
50L_50NL_2_4,50L_50NL,2,f a ʃ e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,f l o ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,f l o ɾ e s ˈe ɾ,605,660,91.67
50L_50NL_2_3,50L_50NL,2,f l o ɾ e s ˈe ɾ,608,660,92.12
50L_50NL_2_4,50L_50NL,2,f l o ɾ e s ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,i n t e ɾ p o n ˈe ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,i n t e ɾ p o n ˈe ɾ,489,660,74.09
50L_50NL_2_3,50L_50NL,2,i n t e ɾ p o n ˈe ɾ,494,660,74.85
50L_50NL_2_4,50L_50NL,2,i n t e ɾ p o n ˈe ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,k o m p u n ç ˈi ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,k o m p u n ç ˈi ɾ,385,660,58.33
50L_50NL_2_3,50L_50NL,2,k o m p u n ç ˈi ɾ,384,660,58.18
50L_50NL_2_4,50L_50NL,2,k o m p u n ç ˈi ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,k o n b e n s ˈe ɾ,237,660,35.91
50L_50NL_2_2,50L_50NL,2,k o n b e n s ˈe ɾ,180,660,27.27
50L_50NL_2_3,50L_50NL,2,k o n b e n s ˈe ɾ,282,660,42.73
50L_50NL_2_4,50L_50NL,2,k o n b e n s ˈe ɾ,140,660,21.21
50L_50NL_2_1,50L_50NL,2,k o n f l i ç ˈi ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,k o n f l i ç ˈi ɾ,387,660,58.64
50L_50NL_2_3,50L_50NL,2,k o n f l i ç ˈi ɾ,388,660,58.79
50L_50NL_2_4,50L_50NL,2,k o n f l i ç ˈi ɾ,660,660,100.0
50L_50NL_2_1,50L_50NL,2,k o p ɾ o d u s ˈi ɾ,660,660,100.0
50L_50NL_2_2,50L_50NL,2,k o p ɾ o d u s ˈi ɾ,584,660,88.48
50L_50NL_2_3,50L_50NL,2,k o p ɾ o d u s ˈi ɾ,498,660,75.45
